Reg Amostra;Reg Planta;Fam�lia;G�nero;Esp�cie
101912;100864;Rubiaceae;Psychotria;martiana
101917;100867;Cyperaceae;Cyperus;giganteus
101829;100827;Malpighiaceae;Tetrapterys;
100143;100841;Asteraceae;Heterocondylus;vitalbae
101032;100450;Acanthaceae;Aphelandra;squarrosa
101810;100821;Cyperaceae;Becquerelia;cymosa
101407;100657;Piperaceae;Piper;
101762;100803;Lamiaceae;;
101425;100670;Lycopodiaceae;Huperzia;reflexa
101773;100807;Zingiberaceae;Hedychium;coronarium
101257;100609;Asteraceae;Baccharis;dracunculifolia
102357;101042;Rubiaceae;Ixora;
102529;101101;Piperaceae;Piper;arboreum
101304;100624;Boraginaceae;Cordia;trichotoma
100976;100459;Rubiaceae;Hamelia;patens
101287;100619;Leguminosae Mimosoideae;Piptadenia;paniculata
101278;100616;Dryopteridaceae;Lastreopsis;effusa
100960;100452;Araceae;Philodendron;propinquum
101247;100606;Euphorbiaceae;Pachystroma;longifolium
101149;100564;Malpighiaceae;Stigmaphyllon;
100912;100503;Monimiaceae;;
101159;100571;Fabaceae;Bauhinia;variegata
100866;100441;Meliaceae;Cabralea;canjerana subsp. canjerana
101302;100623;Poaceae;;
100988;100462;Sapindaceae;Cupania;
101180;100582;Boraginaceae;Cordia;taguahyensis
100889;100489;Euphorbiaceae;;
100828;100431;Lacistemaceae;Lacistema;pubescens
101272;100614;Piperaceae;Piper;lepturum var. lepturum
101239;100603;Asteraceae;Vernonia;macrophylla
101155;100567;Combretaceae;Combretum;fruticosum
101171;100578;Bixaceae;Bixa;orellana
100813;100425;Solanaceae;Cestrum;intermedium
101138;100559;Begoniaceae;Begonia;
101190;100586;Fabaceae;Mimosa;
101246;100605;Melastomataceae;;
101067;100529;Solanaceae;Solanum;pereirae
100407;100208;Melastomataceae;;
101813;100822;Sapotaceae;Chrysophyllum;flexuosum
100145;100098;Leguminosae Papilionoideae;Andira;fraxinifolia
101007;100467;Melastomataceae;Miconia;
100029;100013;Clusiaceae;Tovomitopsis;paniculata
102510;101094;Polygalaceae;;
101639;100754;Solanaceae;Solanum;mauritianum
102455;101076;Asteraceae;Eremanthus;erythropappus
102407;101060;Myrtaceae;Eugenia;macahensis
102395;101055;Sapindaceae;;
101015;100470;Annonaceae;Guatteria;pubens
101452;100681;Aspleniaceae;Asplenium;
102377;101048;Euphorbiaceae;;
102405;101058;Labiatae;Hyptis;lantanifolia
100865;100441;Meliaceae;Cabralea;canjerana subsp. canjerana
100377;100192;Melastomataceae;Miconia;
100113;100085;Melastomataceae;Tibouchina;granulosa
101915;100866;Sapindaceae;Cupania;furfuracea
100155;100101;Fabaceae;Machaerium;brasiliense
100554;100287;Rubiaceae;Bathysa;sylvestrae
100614;100317;Podocarpaceae;Podocarpus;lambertii
101741;100793;Lamiaceae;;
101368;100641;Lauraceae;Nectandra;oppositifolia
101737;100791;Asteraceae;Emilia;coccinea
101512;100708;Poaceae;Melinis;minutiflora
101749;100797;Fabaceae;Balizia;pedicellaris
101679;100768;Melastomataceae;;
101893;100857;Araceae;Philodendron;
100971;100457;Rubiaceae;Faramea;multiflora var. salicifolia
100424;100217;Euphorbiaceae;Alchornea;iricurana
101746;100796;Bignoniaceae;Tabebuia;cassinoides
102474;101082;Monimiaceae;;
102385;101050;Sapindaceae;Paullinia;
101628;100752;Lecythidaceae;Couroupita;guianensis
102533;101102;Leguminosae Mimosoideae;Inga;marginata
102475;101082;Monimiaceae;;
101653;100759;Rubiaceae;Chomelia;hirsuta
101706;100778;Asteraceae;Baccharis;itatiaiae
102397;101055;Sapindaceae;;
102520;101098;Sapindaceae;Cupania;oblongifolia
102526;101099;Cucurbitaceae;Cayaponia;tayuya
102518;101097;Lauraceae;Cinnamomum;triplinerve
101783;100809;Icacinaceae;;
101530;100717;Passifloraceae;Passiflora;alata
101417;100662;Apiaceae (Umbelliferae);Eryngium;
101445;100677;Meliaceae;Guarea;kunthiana
100214;100109;Leguminosae Caesalpinioideae;Senna;alata
101602;100745;Moraceae;Ficus;insipida
100673;100347;Melastomataceae;;
100600;100309;Euphorbiaceae;Actinostemon;concolor
100706;100367;Rubiaceae;Psychotria;vellosiana
100645;100333;Euphorbiaceae;;
101553;100726;Tiliaceae;Triumfetta;semitriloba
100626;100325;Asteraceae;;
100450;100229;Malvaceae;Sida;cordifolia
100627;100325;Asteraceae;;
101541;100720;Amaranthaceae;Iresine;
101656;100760;Myrtaceae;Plinia;ilhensis
102506;101092;Asteraceae;Vernonia;discolor
101483;100694;Bromeliaceae;Vriesea;
101220;100573;Sapindaceae;Paullinia;
101562;100730;Fabaceae;Stryphnodendron;
102396;101055;Sapindaceae;;
101619;100750;Boraginaceae;Cordia;
101891;100856;Malpighiaceae;Tetrapterys;
101439;100676;Rubiaceae;Psychotria;subspathacea
102325;101030;Bromeliaceae;Edmundoa;lindenii
101736;100790;Lauraceae;;
101818;100823;Asteraceae;Verbesina;glabrata
102531;101101;Piperaceae;Piper;arboreum
102374;101046;Asteraceae;Mikania;argyreiae
101501;100702;Myrtaceae;Campomanesia;schlechtendaliana
101590;100740;Bromeliaceae;;
101370;100642;Myrtaceae;Marlierea;langsdorffii
101537;100719;Apocynaceae;;
101744;100795;Boraginaceae;Cordia;sericicalyx
100878;100446;Myrtaceae;Syzygium;jambos
102345;101038;Clusiaceae;Tovomitopsis;paniculata
101715;100781;Asteraceae;Wunderlichia;insignis
102413;101061;Violaceae;Anchietea;pyrifolia var. pyrifolia
102348;101039;Clusiaceae;Tovomitopsis;paniculata
100435;100222;Melastomataceae;Tibouchina;fothergillae
101529;100716;Cyperaceae;Rhynchospora;exaltata
101797;100817;Arecaceae;;
102927;100778;Asteraceae;Baccharis;itatiaiae
102387;101052;Flacourtiaceae;Casearia;commersoniana
101738;100792;Annonaceae;Guatteria;villosissima
101360;100154;Bignoniaceae;;
101667;100765;Myrtaceae;Marlierea;gardneriana
102420;101064;Myrtaceae;Myrcia;anceps
102399;101056;Leguminosae Papilionoideae;Swartzia;crocea
102383;101050;Sapindaceae;Paullinia;
102514;101095;Rosaceae;Prunus;
102509;101093;Iridaceae;;
102488;101087;Asteraceae;Mikania;casarettoi
102393;101053;Fabaceae;;
102508;101092;Asteraceae;Vernonia;discolor
102516;101096;Euphorbiaceae;;
102403;101057;Myrtaceae;Syzygium;jambos
101665;100764;Commelinaceae;;
102519;101097;Lauraceae;Cinnamomum;triplinerve
101362;100640;Asteraceae;Piptocarpha;macropoda
102485;101086;Asteraceae;Mikania;lanuginosa
101420;100665;Asteraceae;Vernonia;pycnostachya
101670;100766;Asteraceae;Baccharis;arctostaphyloides
102502;101091;Rosaceae;Rubus;rosifolius var. rosifolius
102416;101063;Fabaceae;Albizia;polycephala
102603;101129;Lamiaceae;;
101388;100649;Lauraceae;;
102362;101043;Rubiaceae;Posoqueria;acutifolia
101662;100763;Asteraceae;Baccharis;vernonioides
102373;101046;Asteraceae;Mikania;argyreiae
101659;100761;Bromeliaceae;Vriesea;
102501;101090;Asteraceae;Vernonia;polyanthes
102494;101089;Buddlejaceae;Buddleja;brasiliensis
102250;101004;Bromeliaceae;Tillandsia;usneoides
100925;100507;Rubiaceae;Psychotria;pleiocephala
102204;100983;Rubiaceae;Ferdinandusa;elliptica
102034;100911;Solanaceae;Aureliana;fasciculata
102227;100993;Melastomataceae;;
101011;100469;Boraginaceae;Cordia;trichoclada
102303;101023;Zingiberaceae;Renealmia;chrysotricha
101844;100833;Euphorbiaceae;Mabea;
102246;101000;Scrophulariaceae;;
101802;100818;Rubiaceae;Psychotria;nuda
101692;100774;Leguminosae Papilionoideae;Ormosia;arborea
102279;101015;Bignoniaceae;Jacaranda;
102222;100991;Lythraceae;Cuphea;ingrata
101454;100682;Bromeliaceae;Canistropsis;billbergioides
101648;100757;Asteraceae;Vernonia;discolor
102400;101056;Leguminosae Papilionoideae;Swartzia;crocea
102419;101063;Fabaceae;Albizia;polycephala
101026;100474;Rubiaceae;Psychotria;vellosiana
100924;100506;Myrtaceae;Eugenia;dodonaeifolia
100975;100459;Rubiaceae;Hamelia;patens
100899;100494;Sapindaceae;Paullinia;
102183;100976;Symplocaceae;Symplocos;celastrinea 
102100;100936;Passifloraceae;Passiflora;alata
100868;100442;Zingiberaceae;Hedychium;coronarium
101050;100524;Flacourtiaceae;Casearia;arborea
101895;100858;Melastomataceae;;
101157;100569;Asclepiadaceae;Oxypetalum;banksii
102597;101127;Fabaceae;Collaea;
100982;100461;Smilacaceae;Smilax;quinquenervia
102298;101021;Lobeliaceae;Lobelia;thapsoidea
102723;101171;Melastomataceae;;
102747;101184;Verbenaceae;Aegiphila;obducta
101020;100471;Solanaceae;Solanum;swartzianum
101405;100656;Piperaceae;Piper;umbellatum
101150;100564;Malpighiaceae;Stigmaphyllon;
102524;101099;Cucurbitaceae;Cayaponia;tayuya
101855;100836;Lauraceae;Cryptocarya;micrantha
100458;100234;Lamiaceae;Leonotis;nepetifolia
100571;100298;Malvaceae;Urena;lobata
100497;100257;Rhamnaceae;Gouania;blanchetiana
100569;100296;Annonaceae;Xylopia;sericea
100545;100282;Sapindaceae;Cupania;furfuracea
100528;100272;Melastomataceae;Miconia;prasina
100380;100194;Fabaceae;;
100355;100174;Asteraceae;Baccharis;trimera
100395;100202;Schizaeaceae;Anemia;villosa
100455;100232;Malvaceae;Hibiscus;tiliaceus
100549;100285;Malpighiaceae;Heteropterys;nitida
100140;100097;Apocynaceae;Tabernaemontana;laeta
100117;100087;Sapindaceae;Serjania;
100048;100024;Asteraceae;Baccharis;serrulata
100131;100092;Bignoniaceae;Arrabidaea;rego
100221;100113;Euphorbiaceae;Alchornea;triplinervia
100268;100129;Rutaceae;Zanthoxylum;rhoifolium
100593;100306;Heliconiaceae;Heliconia;spathocircinata
100369;100187;Caryophyllaceae;;
100027;100012;Dilleniaceae;Tetracera;sellowiana
100364;100182;Solanaceae;Solanum;americanum
100463;100237;Fabaceae;Anadenanthera;peregrina
100456;100233;Asteraceae;Vernonia;macrophylla
100568;100296;Annonaceae;Xylopia;sericea
100429;100219;Acanthaceae;Thunbergia;alata
100557;100290;Flacourtiaceae;Casearia;commersoniana
100563;100292;Annonaceae;Guatteria;candolleana
100370;100188;Solanaceae;Solanum;mauritianum
100389;100198;Fabaceae;;
100220;100113;Euphorbiaceae;Alchornea;triplinervia
100579;100301;Solanaceae;Cestrum;laevigatum
101145;100562;Rubiaceae;Psychotria;umbelluligera
100945;100514;Bignoniaceae;;
100548;100284;Rubiaceae;Psychotria;racemosa
100552;100286;Melastomataceae;;
100353;100173;Asteraceae;Ageratum;fastigiatum
101076;100532;Meliaceae;;
100451;100230;Amaranthaceae;Achyranthes;aspera
101498;100701;Sapotaceae;;
101520;100679;Dryopteridaceae;Didymochlaena;truncatula
101341;100631;Myrtaceae;Eugenia;dodonaeifolia
101495;100700;Siparunaceae;Siparuna;
100576;100300;Lauraceae;Nectandra;membranacea
100490;100252;Cyperaceae;Scleria;melaleuca
100761;100398;Aquifoliaceae;Ilex;chamaedryfolia
100397;100204;Rosaceae;Rubus;rosifolius var. rosifolius
100375;100191;Onagraceae;Ludwigia cf. ;suffruticosa
101469;100689;Euphorbiaceae;Euphorbia;
100595;100307;Marantaceae;;
100847;100479;Malvaceae;Malvaviscus;arboreus
100542;100281;Solanaceae;Solanum;swartzianum subsp. swartzianum
100601;100310;Sapindaceae;;
100846;100478;Cupressaceae;;
101429;100673;Asteraceae;Baccharis;vernonioides
100475;100244;Moraceae;Ficus;clusiifolia
101559;100729;Asteraceae;Piptocarpha;macropoda
100363;100181;Chenopodiaceae;Chenopodium;ambrosioides
101164;100573;Sapindaceae;Paullinia;
100573;100299;Myrtaceae;Campomanesia;schlechtendaliana
100351;100172;Melastomataceae;Tibouchina;heteromalla
101493;100699;Fabaceae;;
100392;100200;Asteraceae;Vernonia;membranacea
100482;100248;Poaceae;;
100587;100303;Sapotaceae;Chrysophyllum;flexuosum
101237;100602;Asteraceae;Vernonia;polyanthes
100503;100260;Solanaceae;Aureliana;fasciculata
100845;100477;Bombacaceae;Bombacopsis;glabra
101554;100727;Solanaceae;;
101616;100749;Rhamnaceae;Gouaria;
101125;100552;Annonaceae;Xylopia;sericea
100938;100511;Sapindaceae;Allophylus;sericeus
101528;100716;Cyperaceae;Rhynchospora;exaltata
100936;100510;Rubiaceae;Chiococca;alba
101019;100471;Solanaceae;Solanum;swartzianum
102248;101002;Brassicaceae;Lepidium;virginicum
102734;101177;Rubiaceae;Alibertia;
102822;101211;Myrtaceae;Eugenia;
102553;101112;Asteraceae;Piptocarpha;oblonga
102239;100996;Melastomataceae;;
102788;101201;Myrsinaceae;;
102497;101089;Buddlejaceae;Buddleja;brasiliensis
102230;100993;Melastomataceae;;
102761;101190;Araceae;Anthurium;
101899;100859;Cecropiaceae;Cecropia;hololeuca
102713;101167;Velloziaceae;;
102380;101049;Euphorbiaceae;;
102255;101006;Malvaceae;;
102234;100994;Myrsinaceae;Myrsine;venosa
100811;100425;Solanaceae;Cestrum;intermedium
102834;101217;Cyperaceae;;
102831;101215;Liliaceae;;
102808;101207;Dilleniaceae;Dillenia;indica
102299;101022;Buddlejaceae;Buddleja;brasiliensis
102281;101015;Bignoniaceae;Jacaranda;
102505;101022;Buddlejaceae;Buddleja;brasiliensis
102294;101020;Combretaceae;Combretum;fruticosum
102411;101061;Violaceae;Anchietea;pyrifolia var. pyrifolia
102221;100990;Lamiaceae;;
102283;101016;Myrsinaceae;Myrsine;coriacea
102195;100980;Melastomataceae;;
102257;101006;Malvaceae;;
102275;101013;Flacourtiaceae;Casearia;
102337;101035;Bromeliaceae;Aechmea;saxicola
102224;100992;Asteraceae;Senecio;brasiliensis
102832;101216;Menispermaceae;;
102235;100995;Melastomataceae;;
102322;101029;Rubiaceae;Bathysa;stipulata
100139;100097;Apocynaceae;Tabernaemontana;laeta
100024;100010;Sapindaceae;Paullinia;rubiginosa
100432;100220;Myrtaceae;Myrcia;anceps
100064;100035;Fabaceae;Albizia;polycephala
100471;100242;Boraginaceae;Cordia;trichotoma
100260;100126;Siparunaceae;Siparuna;aff. glossostyla
100442;100225;Malvaceae;Wissadula;contracta
100208;100106;Fabaceae;Bauhinia;forficata
100063;100035;Fabaceae;Albizia;polycephala
100514;100265;Araucariaceae;Araucaria;angustifolia
100447;100228;Fabaceae;Senna;obtusifolia
100273;100131;Fabaceae;Swartzia;
100021;100009;Meliaceae;Guarea;guidonia
100271;100129;Rutaceae;Zanthoxylum;rhoifolium
100151;100100;Malvaceae;Luehea;divaricata
100517;100266;Casuarinaceae;Casuarina cf. ;equisetifolia
102016;100906;Arecaceae;Geonoma;
102583;101122;Myrtaceae;Eugenia;stenosepala
100230;100120;Solanaceae;Solanum;paniculatum
102841;101221;Meliaceae;Cabralea;canjerana subsp. canjerana
101028;100474;Rubiaceae;Psychotria;vellosiana
102103;100937;Typhaceae;Typha;domingensis
102835;101218;Moraceae;Morus;
100267;100128;Bignoniaceae;Fridericia;speciosa
101418;100663;Asteraceae;Lucilia;lycopodioides
102388;101052;Flacourtiaceae;Casearia;commersoniana
102417;101063;Fabaceae;Albizia;polycephala
102515;101096;Euphorbiaceae;;
100800;100417;Asteraceae;Vernonia;macrophylla
102440;101071;Costaceae;Costus;spiralis var. spiralis
102327;101031;Gesneriaceae;Paliavana;prasinata
102254;101005;Lobeliaceae;Lobelia;thapsoidea
102107;100940;Euphorbiaceae;Mabea;fistulifera
102739;101178;Malpighiaceae;Tetrapterys;mucronata
100948;100516;Fabaceae;;
101460;100684;Nyctaginaceae;Guapira;
102805;101206;Sapindaceae;Sapindus;saponaria
102738;101178;Malpighiaceae;Tetrapterys;mucronata
102186;100977;Marattiaceae;Marattia;raddii
100904;100496;Araliaceae;;
101041;100520;Solanaceae;Capsicum;annuum
101431;100673;Asteraceae;Baccharis;vernonioides
102468;101080;Melastomataceae;;
101312;100574;Bignoniaceae;;
102414;101062;Melastomataceae;;
102785;101200;Myrtaceae;Eugenia;
101519;100712;Piperaceae;;
101352;100636;Melastomataceae;;
101364;100640;Asteraceae;Piptocarpha;macropoda
101356;100639;Lamiaceae;;
101343;100632;Asteraceae;Vernonia;petiolaris
102099;100935;Rubiaceae;Mitracarpus;frigidus var. humboldtianus
101462;100685;Rutaceae;Almeidea;
101394;100651;Melastomataceae;;
101435;100637;Rubiaceae;Psychotria;stachyoides
101459;100684;Nyctaginaceae;Guapira;
102176;100971;Rubiaceae;Coussarea;verticillata
102718;101169;Asteraceae;Vernonia;glazioviana
102737;101178;Malpighiaceae;Tetrapterys;mucronata
102532;101110;Bromeliaceae;Pitcairnia;flammea
102059;100920;Moraceae;Ficus;hirsuta
102592;101125;Euphorbiaceae;;
102561;101114;Lacistemaceae;Lacistema;pubescens
102029;100910;Asteraceae;Kaunia;rufescens
102774;101196;Myrtaceae;Eugenia;stenosepala
102071;100923;Malpighiaceae;Tetrapterys;
102289;101019;Asteraceae;Baccharis;schultzii
102170;100970;Myrtaceae;Myrcia;fallax
102098;100934;Solanaceae;Solanum;aspero-lanatum
101457;100683;Elaeocarpaceae;Sloanea;monosperma
101330;100628;Myrtaceae;Marlierea;gardneriana
101333;100629;Myrsinaceae;Myrsine;glazioviana
102065;100922;Leguminosae Mimosoideae;Inga;marginata
102273;101013;Flacourtiaceae;Casearia;
101346;100633;Boraginaceae;Cordia;
102044;100915;Clusiaceae;;
102264;101010;Asteraceae;Eremanthus;erythropappus
102556;101112;Asteraceae;Piptocarpha;oblonga
102102;100936;Passifloraceae;Passiflora;alata
102125;100946;Asteraceae;Vernonia;diffusa
102179;100974;Polygalaceae;;
102109;100940;Euphorbiaceae;Mabea;fistulifera
101990;100897;Bromeliaceae;Aechmea;saxicola
100008;100004;Sapotaceae;Chrysophyllum;flexuosum
101340;100631;Myrtaceae;Eugenia;dodonaeifolia
102745;101181;Cyperaceae;Trilepis;ciliatifolia
102746;101182;Cyperaceae;Trilepis;ciliatifolia
102779;101183;Velloziaceae;Vellozia;
100405;100206;Lauraceae;Nectandra;oppositifolia
100629;100326;Euphorbiaceae;Sapium;glandulatum
100211;100107;Verbenaceae;Lantana;camara
100507;100262;Solanaceae;Solanum;aspero-lanatum
100070;100038;Fabaceae;Machaerium;
100087;100053;Nyctaginaceae;Guapira;opposita
100279;100135;Moraceae;Ficus;insipida
100580;100301;Solanaceae;Cestrum;laevigatum
100033;100016;Solanaceae;Solanum;asperum
100755;100394;Leguminosae Mimosoideae;;
100052;100027;Asteraceae;Pterocaulon;interruptum
100550;100286;Melastomataceae;;
100074;100042;Malvaceae;Luehea;divaricata
100043;100020;Solanaceae;Aureliana;fasciculata
100093;100056;Anacardiaceae;Schinus;terebinthifolius
100555;100288;Connaraceae;Connarus;rostratus
100653;100336;Ericaceae;Agarista;oleifolia
100523;100269;Vitaceae;Cissus;erosa
100118;100087;Sapindaceae;Serjania;
100469;100241;Leguminosae Papilionoideae;Platypodium;elegans
100430;100220;Myrtaceae;Myrcia;anceps
100091;100056;Anacardiaceae;Schinus;terebinthifolius
100644;100333;Euphorbiaceae;;
100061;100033;Rubiaceae;Sabicea;cinerea
100379;100193;Fabaceae;;
100577;100300;Lauraceae;Nectandra;membranacea
100504;100260;Solanaceae;Aureliana;fasciculata
100636;100329;Bignoniaceae;Jacaranda;
100338;100130;Bombacaceae;Bombacopsis;glabra
100953;100448;Solanaceae;Aureliana;fasciculata
100045;100022;Boraginaceae;Cordia;corymbosa
101323;100626;Asteraceae;Baccharis;reticularia
100325;100158;Loranthaceae;Struthanthus;vulgaris
100357;100176;Rubiaceae;Galianthe;brasiliensis
100700;100364;Styracaceae;Styrax;leprosus
102792;101202;Myrtaceae;Syzygium;jambos
100630;100326;Euphorbiaceae;Sapium;glandulatum
102032;100911;Solanaceae;Aureliana;fasciculata
100634;100328;Melastomataceae;;
100684;100353;Labiatae;Hyptis;lappulacea
100425;100217;Euphorbiaceae;Alchornea;iricurana
100360;100178;Asteraceae;Chromolaena;laevigata
100150;100100;Malvaceae;Luehea;divaricata
100433;100221;Asteraceae;Erechtites;valerianifolius
100544;100282;Sapindaceae;Cupania;furfuracea
101039;100518;Malpighiaceae;Barnebya;dispar
100082;100046;Fabaceae;;
100501;100259;Flacourtiaceae;Casearia;sylvestris
100502;100259;Flacourtiaceae;Casearia;sylvestris
100520;100267;Sapindaceae;Cupania;racemosa
100881;100434;Meliaceae;Trichilia;elegans subsp. richardiana
102719;101169;Asteraceae;Vernonia;glazioviana
100529;100273;Rubiaceae;Faramea;multiflora var. salicifolia
100692;100360;Fabaceae;;
100444;100226;Malvaceae;Sidastrum;micranthum
100276;100133;Rubiaceae;Borreria;verticillata
100452;100231;Piperaceae;Piper;tuberculatum
100095;100078;Melastomataceae;Clidemia;bullosa
100393;100200;Asteraceae;Vernonia;membranacea
100685;100354;Lycopodiaceae;Lycopodiella;alopecuroides
100536;100277;Poaceae;Coix;lacryma-jobi
100083;100047;Convolvulaceae;Jacquemontia;
100842;100476;Araceae;Monstera;deliciosa
100467;100240;Piperaceae;Piper;amalago
100702;100366;Myrtaceae;;
100524;100270;Rubiaceae;Psychotria;deflexa
100538;100279;Rubiaceae;Diodia;alata
100522;100268;Dilleniaceae;Davilla;rugosa
102231;100994;Myrsinaceae;Myrsine;venosa
100757;100395;Rubiaceae;Galianthe;brasiliensis
100660;100339;Leguminosae Papilionoideae;;
102240;100996;Melastomataceae;;
100709;100369;Asteraceae;Baccharis;reticularia
100431;100220;Myrtaceae;Myrcia;anceps
100046;100023;Leguminosae Papilionoideae;Andira;fraxinifolia
102293;101020;Combretaceae;Combretum;fruticosum
100853;100437;Sapindaceae;Cupania;oblongifolia
100505;100261;Anacardiaceae;Schinus;terebinthifolius
100836;100435;Euphorbiaceae;Acalypha;amblyodonta
100888;100489;Euphorbiaceae;;
100288;100138;Leguminosae Mimosoideae;Inga;edulis
100053;100028;Solanaceae;Physalis;angulata
100356;100175;Asteraceae;;
100089;100054;Avicenniaceae;Avicennia;schaueriana
101029;100475;Verbenaceae;Vitex;
100302;100163;Meliaceae;Guarea;guidonia
100035;100017;Chrysobalanaceae;Hirtella;hebeclada
100415;100211;Rubiaceae;Bathysa;australis
100314;100150;Melastomataceae;Miconia;prasina
100077;100043;Fabaceae;;
102827;101212;Fabaceae;Cassia;grandis
102721;101170;Apocynaceae;;
101175;100579;Rubiaceae;Rudgea;interrupta
101142;100561;Meliaceae;Guarea;macrophylla subsp. tuberculata
100824;100430;Myrtaceae;;
101350;100635;Asteraceae;Barnadesia;caryophylla
101221;100597;Fabaceae;Anadenanthera;colubrina var. colubrina
101102;100545;Sapotaceae;Chrysophyllum;flexuosum
100817;100427;Bignoniaceae;Pithecoctenium;crucigerum
101240;100603;Asteraceae;Vernonia;macrophylla
101034;100517;Solanaceae;Aureliana;fasciculata
101154;100567;Combretaceae;Combretum;fruticosum
101252;100607;Costaceae;Costus;spiralis var. spiralis
101223;100597;Fabaceae;Anadenanthera;colubrina var. colubrina
101120;100551;Monimiaceae;Mollinedia;
100832;100433;Meliaceae;Guarea;kunthiana
101297;100622;Araceae;Anthurium;coriaceum
101186;100585;Leguminosae Mimosoideae;Inga;laurina
100963;100453;Piperaceae;Piper;cernuum
101194;100587;Anacardiaceae;Schinus;terebinthifolius
101227;100598;Fabaceae;Piptadenia;gonoacantha
100879;100446;Myrtaceae;Syzygium;jambos
101146;100563;Rubiaceae;Psychotria;pubigera
100006;100003;Boraginaceae;Cordia;taguahyensis
102687;101159;Vitaceae;;
100810;100424;Asteraceae;Blainvillea;rhomboidea
100134;100093;Melastomataceae;Miconia;albicans
102875;101232;Bromeliaceae;Aechmea;ramosa
102870;101230;Phytolaccaceae;;
102904;101243;Sapindaceae;Serjania;
102865;101229;Asteraceae;Eupatorium;rufescens var. glabratum
101821;100824;Asteraceae;Mikania;trinervis
102924;101254;Fabaceae;Chamaecrista;rotundifolia
103068;101305;Annonaceae;Xylopia;sericea
103166;101273;Myrtaceae;Eugenia;
102560;101113;Sapindaceae;Serjania;multiflora
101708;100778;Asteraceae;Baccharis;itatiaiae
100743;100386;Asteraceae;Mikania;vauthieriana
100484;100249;Fabaceae;Acacia;polyphylla
100551;100286;Melastomataceae;;
100443;100225;Malvaceae;Wissadula;contracta
100007;100004;Sapotaceae;Chrysophyllum;flexuosum
102852;101224;Myrtaceae;Myrcia;rostrata
102902;101243;Sapindaceae;Serjania;
101163;100572;Leguminosae Papilionoideae;Cleobulia;multiflora
100822;100429;Melastomataceae;;
101167;100575;Gleicheniaceae;Dicranopteris;pectinata
101209;100593;Sapotaceae;;
100791;100412;Myrtaceae;Gomidesia;hookeriana
100965;100454;Melastomataceae;;
101222;100597;Fabaceae;Anadenanthera;colubrina var. colubrina
101103;100546;Rubiaceae;Coussarea;verticillata
101047;100522;Onagraceae;Ludwigia;nervosa
101147;100563;Rubiaceae;Psychotria;pubigera
100863;100440;Fabaceae;Inga;
100803;100419;Sapindaceae;Paullinia;
100968;100454;Melastomataceae;;
100855;100437;Sapindaceae;Cupania;oblongifolia
100987;100462;Sapindaceae;Cupania;
101043;100519;Lauraceae;Urbanodendron;verrucosum
101002;100466;Rutaceae;;
101054;100525;Rutaceae;Almeidea;caerulea 
100721;100377;Celastraceae;Maytenus;samydiformis
100264;100127;Fabaceae;Piptadenia;
100729;100380;Bignoniaceae;Zeyheria;montana
101300;100623;Poaceae;;
100479;100245;Labiatae;Ocimum;gratissimum
100148;100099;Solanaceae;Solanum;swartzianum var. swartzianum
100873;100444;Moraceae;Dorstenia;ramosa
100125;100090;Fabaceae;Inga;laurina
100224;100116;Euphorbiaceae;Croton;glandulosus var. lundianus
100255;100125;Herreriaceae;Herreria;salsaparilha
100641;100332;Asteraceae;Baccharis;calvescens
102851;101224;Myrtaceae;Myrcia;rostrata
100489;100251;Dioscoreaceae;;
103124;101326;Mayacaceae;;
101980;100893;Begoniaceae;Begonia;hookeriana
100023;100009;Meliaceae;Guarea;guidonia
100525;100271;Marantaceae;Stromanthe;tonckat
100646;100334;Myrsinaceae;;
100227;100118;Boraginaceae;Cordia;taguahyensis
100830;100432;Cucurbitaceae;Cayaponia;fluminensis
100493;100255;Elaeocarpaceae;;
103136;101333;Flacourtiaceae;Casearia;arborea
102550;101111;Rubiaceae;Psychotria;vellosiana
102580;101121;Moraceae;Sorocea;bonplandii
100136;100095;Leguminosae Papilionoideae;Clitoria;laurifolia
103110;101319;Piperaceae;Piper;arboreum
100572;100298;Malvaceae;Urena;lobata
101614;100748;Araceae;Syngonium;vellozianum
100612;100316;Melastomataceae;;
101040;100520;Solanaceae;Capsicum;annuum
101169;100576;Solanaceae;Solanum;swartzianum subsp. swartzianum
100124;100089;Combretaceae;Laguncularia;racemosa
101094;100542;Fabaceae;Inga;
101264;100611;Urticaceae;Urera;
101273;100614;Piperaceae;Piper;lepturum var. lepturum
101184;100584;Myrtaceae;Pimenta;pseudocaryophyllus
101185;100584;Myrtaceae;Pimenta;pseudocaryophyllus
101208;100592;Rubiaceae;Bathysa;gymnocarpa
101233;100601;Solanaceae;Aureliana;fasciculata
100854;100437;Sapindaceae;Cupania;oblongifolia
101314;100567;Combretaceae;Combretum;fruticosum
100594;100306;Heliconiaceae;Heliconia;spathocircinata
100930;100508;Fabaceae;Senna;
100662;100341;Ericaceae;Gaultheria;eriophylla
100751;100391;Lamiaceae;;
100799;100417;Asteraceae;Vernonia;macrophylla
101288;100619;Leguminosae Mimosoideae;Piptadenia;paniculata
100767;100402;Asteraceae;Baccharis;microdonta
101309;100414;Bignoniaceae;;
100823;100430;Myrtaceae;;
100752;100392;Asteraceae;;
100806;100422;Fabaceae;;
101325;100627;Flacourtiaceae;;
101023;100473;Rutaceae;;
102849;101222;Fabaceae;Caesalpinia;pluviosa
102871;101231;Sapindaceae;;
